,CAGR,Volatility,Sharpe,Max Drawdown,Tracking Error,Information Ratio,Effective N,HHI,Top 10 Weight,Gini,Avg Turnover
Cap weight (benchmark),0.08261533328534876,0.1348750714356612,0.612532267126608,-0.503454214124208,0.0,,100.57174443714007,0.010673943597827472,0.23544871985076174,0.7858632364728894,0.027440468945121067
Equal weight,0.08467476076812264,0.1541511944740251,0.5492968189902062,-0.5211020880266352,0.045108105165785256,0.10465951165330374,454.9004149377593,0.0022031714144484854,0.022031714144484852,0.43977781411606,0.006562462076713252
Minimum variance,0.0628216511648243,0.10325646989795262,0.6084040179459005,-0.4037350577282909,0.07216341416879601,-0.30924994755267615,35.817666067542625,0.02919221570454906,0.41319482899459176,0.9594557080112955,0.10970700364624691
Risk parity,0.07912913922252507,0.13170095895102166,0.600824320891638,-0.47680890907039497,0.035768065417662975,-0.10169084638646653,317.81912243358033,0.0031845292046723283,0.08585776652427676,0.6030136291964127,0.028748429185622062
Momentum,0.07466277891066997,0.14545864804534428,0.5132921274463867,-0.4905031273873587,0.05896715976275334,-0.0993022876233796,136.01659751037346,0.007368343594805496,0.07368343594805496,0.8324918749872249,0.19717357816995848
Fundamental,0.07678272856096235,0.147407624265787,0.5208870907689099,-0.5715471680848543,0.04063407612014662,-0.09013388941001939,108.60313905471261,0.009441502851502765,0.2321272518637075,0.7894830643342323,0.011073999742665395
